Sno,Date,Day,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Dailyincrease
40,4/3/2020,1,6:00 PM,Uttar Pradesh,6,0,0,0,6,6
51,5/3/2020,2,6:00 PM,Uttar Pradesh,7,0,0,0,7,1
56,6/3/2020,3,6:00 PM,Uttar Pradesh,7,0,0,0,7,0
59,7/3/2020,4,6:00 PM,Uttar Pradesh,7,0,0,0,7,0
73,8/3/2020,5,6:00 PM,Uttar Pradesh,7,0,0,0,7,0
83,9/3/2020,6,6:00 PM,Uttar Pradesh,7,0,0,0,7,0
86,10/3/2020,7,6:00 PM,Uttar Pradesh,7,0,0,0,7,0
104,11/3/2020,8,6:00 PM,Uttar Pradesh,9,0,0,0,9,2
115,12/3/2020,9,6:00 PM,Uttar Pradesh,10,1,0,0,11,2
128,13/03/20,10,6:00 PM,Uttar Pradesh,10,1,0,0,11,0
141,14/03/20,11,6:00 PM,Uttar Pradesh,11,1,5,0,12,1
161,15/03/20,12,6:00 PM,Uttar Pradesh,12,1,4,0,13,1
176,16/03/20,13,6:00 PM,Uttar Pradesh,12,1,4,0,13,0
191,17/03/20,14,6:00 PM,Uttar Pradesh,14,1,5,0,15,2
207,18/03/20,15,6:00 PM,Uttar Pradesh,15,1,5,0,16,1
226,19/03/20,16,6:00 PM,Uttar Pradesh,18,1,9,0,19,3
246,20/03/20,17,6:00 PM,Uttar Pradesh,22,1,9,0,23,4
268,21/03/20,18,6:00 PM,Uttar Pradesh,23,1,9,0,24,1
291,22/03/20,19,6:00 PM,Uttar Pradesh,26,1,9,0,27,3
314,23/03/20,20,6:00 PM,Uttar Pradesh,30,1,9,0,31,4
338,24/03/20,21,6:00 PM,Uttar Pradesh,32,1,11,0,33,2
363,25/03/20,22,6:00 PM,Uttar Pradesh,36,1,11,0,37,4
391,26/03/20,23,6:00 PM,Uttar Pradesh,40,1,11,0,41,4
418,27/03/20,24,10:00 AM,Uttar Pradesh,40,1,11,0,41,0
445,28/03/20,25,6:00 PM,Uttar Pradesh,54,1,11,0,55,14
472,29/03/20,26,7:30 PM,Uttar Pradesh,-,-,11,0,65,10
499,30/03/20,27,9:30 PM,Uttar Pradesh,-,-,11,0,82,17
527,31/03/20,28,8:30 PM,Uttar Pradesh,-,-,14,0,101,19
557,1/4/2020,29,7:30 PM,Uttar Pradesh,-,-,14,2,103,2
586,2/4/2020,30,6:00 PM,Uttar Pradesh,-,-,14,2,113,10
616,3/4/2020,31,6:00 PM,Uttar Pradesh,-,-,14,2,172,59
647,4/4/2020,32,6:00 PM,Uttar Pradesh,-,-,19,2,174,2
677,5/4/2020,33,6:00 PM,Uttar Pradesh,-,-,19,2,227,53
707,6/4/2020,34,6:00 PM,Uttar Pradesh,-,-,21,3,305,78
738,7/4/2020,35,6:00 PM,Uttar Pradesh,-,-,21,3,305,0
769,8/4/2020,36,5:00 PM,Uttar Pradesh,-,-,26,3,343,38
800,9/4/2020,37,5:00 PM,Uttar Pradesh,-,-,31,4,410,67
831,10/4/2020,38,5:00 PM,Uttar Pradesh,-,-,32,4,431,21
862,11/4/2020,39,5:00 PM,Uttar Pradesh,-,-,32,4,433,2
893,12/4/2020,40,5:00 PM,Uttar Pradesh,-,-,45,5,452,19
925,13/04/20,41,5:00 PM,Uttar Pradesh,-,-,47,5,483,31
958,14/04/20,42,5:00 PM,Uttar Pradesh,-,-,49,5,657,174
991,15/04/20,43,5:00 PM,Uttar Pradesh,-,-,51,11,735,78
1024,16/04/20,44,5:00 PM,Uttar Pradesh,-,-,68,13,773,38
1057,17/04/20,45,5:00 PM,Uttar Pradesh,-,-,74,14,846,73
1090,18/04/20,46,5:00 PM,Uttar Pradesh,-,-,86,14,969,123
1123,19/04/20,47,5:00 PM,Uttar Pradesh,-,-,108,17,1084,115
1156,20/04/20,48,5:00 PM,Uttar Pradesh,-,-,129,17,1176,92
1189,21/04/20,49,5:00 PM,Uttar Pradesh,-,-,140,20,1294,118
1221,22/04/20,50,5:00 PM,Uttar Pradesh,-,-,165,21,1412,118
1253,23/04/20,51,5:00 PM,Uttar Pradesh,-,-,187,21,1509,97
1285,24/04/20,52,5:00 PM,Uttar Pradesh,-,-,206,24,1604,95
1317,25/04/20,53,5:00 PM,Uttar Pradesh,-,-,248,26,1778,174
1349,26/04/20,54,5:00 PM,Uttar Pradesh,-,-,289,29,1843,65
1381,27/04/20,55,5:00 PM,Uttar Pradesh,-,-,335,31,1955,112
1413,28/04/20,56,5:00 PM,Uttar Pradesh,-,-,400,31,2043,88
1445,29/04/20,57,5:00 PM,Uttar Pradesh,-,-,477,36,2115,72
1477,30/04/20,58,5:00 PM,Uttar Pradesh,-,-,513,39,2203,88
1509,1/5/2020,59,5:00 PM,Uttar Pradesh,-,-,555,41,2281,78
1541,2/5/2020,60,5:00 PM,Uttar Pradesh,-,-,654,42,2328,47
1573,3/5/2020,61,5:00 PM,Uttar Pradesh,-,-,698,43,2626,298
1605,4/5/2020,62,5:00 PM,Uttar Pradesh,-,-,758,45,2742,116
1637,5/5/2020,63,5:00 PM,Uttar Pradesh,-,-,944,53,2859,117
1670,6/5/2020,64,8:00 AM,Uttar Pradesh,-,-,987,56,2880,21
1703,7/5/2020,65,8:00 AM,Uttar Pradesh,-,-,1130,60,2998,118
1736,8/5/2020,66,8:00 AM,Uttar Pradesh,-,-,1250,62,3071,73
1769,9/5/2020,67,8:00 AM,Uttar Pradesh,-,-,1387,66,3214,143
